,Accident_Index,1st_Road_Number,2nd_Road_Number,Accident_Severity,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year,InScotland
0,200501BS00001,3218.0,0.0,Serious,04/01/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.489096,Kensington and Chelsea,Kensington and Chelsea,525680.0,178240.0,-0.19117,E01002849,1,1,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,17:42,Urban,Raining no high winds,2005,No
1,200501BS00002,450.0,0.0,Slight,05/01/2005,Wednesday,1.0,Auto traffic signal,Crossroads,51.520075,Kensington and Chelsea,Kensington and Chelsea,524170.0,181650.0,-0.211708,E01002909,1,1,0.0,5.0,Metropolitan Police,Dry,Dual carriageway,30,17:36,Urban,Fine no high winds,2005,No
2,200501BS00003,0.0,0.0,Slight,06/01/2005,Thursday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.525301,Kensington and Chelsea,Kensington and Chelsea,524520.0,182240.0,-0.206458,E01002857,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,00:15,Urban,Fine no high winds,2005,No
3,200501BS00004,3220.0,0.0,Slight,07/01/2005,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.482442,Kensington and Chelsea,Kensington and Chelsea,526900.0,177530.0,-0.173862,E01002840,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,10:35,Urban,Fine no high winds,2005,No
4,200501BS00005,0.0,0.0,Slight,10/01/2005,Monday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.495752,Kensington and Chelsea,Kensington and Chelsea,528060.0,179040.0,-0.156618,E01002863,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,21:13,Urban,Fine no high winds,2005,No
5,200501BS00006,0.0,0.0,Slight,11/01/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.51554,Kensington and Chelsea,Kensington and Chelsea,524770.0,181160.0,-0.203238,E01002832,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,12:40,Urban,Raining no high winds,2005,No
6,200501BS00007,0.0,0.0,Slight,13/01/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.512695,Kensington and Chelsea,Kensington and Chelsea,524220.0,180830.0,-0.211277,E01002875,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,20:40,Urban,Fine no high winds,2005,No
7,200501BS00009,315.0,0.0,Slight,14/01/2005,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.50226,Kensington and Chelsea,Kensington and Chelsea,525890.0,179710.0,-0.187623,E01002889,2,1,0.0,0.0,Metropolitan Police,Dry,Dual carriageway,30,17:35,Urban,Fine no high winds,2005,No
8,200501BS00010,3212.0,304.0,Slight,15/01/2005,Saturday,1.0,Auto traffic signal,Crossroads,51.48342,Kensington and Chelsea,Kensington and Chelsea,527350.0,177650.0,-0.167342,E01002900,2,2,0.0,5.0,Metropolitan Police,Dry,Single carriageway,30,22:43,Urban,Fine no high winds,2005,No
9,200501BS00011,450.0,0.0,Slight,15/01/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.512443,Kensington and Chelsea,Kensington and Chelsea,524550.0,180810.0,-0.206531,E01002875,5,2,0.0,8.0,Metropolitan Police,Dry,Single carriageway,30,16:00,Urban,Fine no high winds,2005,No
10,200501BS00012,4.0,325.0,Slight,16/01/2005,Sunday,1.0,Auto traffic signal,Crossroads,51.494902,Kensington and Chelsea,Kensington and Chelsea,526240.0,178900.0,-0.182872,E01002835,1,1,0.0,5.0,Metropolitan Police,Dry,Single carriageway,30,00:42,Urban,Fine no high winds,2005,No
11,200501BS00014,3220.0,308.0,Slight,25/01/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.484044,Kensington and Chelsea,Kensington and Chelsea,526170.0,177690.0,-0.184312,E01002912,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,20:48,Urban,Fine no high winds,2005,No
12,200501BS00015,0.0,3220.0,Slight,11/01/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.491632,Kensington and Chelsea,Kensington and Chelsea,525590.0,178520.0,-0.192366,E01002849,1,1,0.0,1.0,Metropolitan Police,Wet or damp,One way street,30,12:55,Urban,Raining no high winds,2005,No
13,200501BS00016,3217.0,3216.0,Slight,18/01/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.492622,Kensington and Chelsea,Kensington and Chelsea,527990.0,178690.0,-0.157753,E01002902,1,2,0.0,0.0,Metropolitan Police,Wet or damp,One way street,30,05:01,Urban,Raining no high winds,2005,No
14,200501BS00017,4.0,0.0,Slight,18/01/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.495429,Kensington and Chelsea,Kensington and Chelsea,526700.0,178970.0,-0.176224,E01002821,2,1,0.0,0.0,Metropolitan Police,Dry,Dual carriageway,30,11:15,Urban,Fine no high winds,2005,No
15,200501BS00018,3217.0,0.0,Slight,18/01/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.481912,Kensington and Chelsea,Kensington and Chelsea,526460.0,177460.0,-0.18022,E01002840,1,1,0.0,1.0,Metropolitan Police,Dry,Single carriageway,30,10:50,Urban,Fine no high winds,2005,No
16,200501BS00019,0.0,0.0,Serious,20/01/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.500191,Kensington and Chelsea,Kensington and Chelsea,524680.0,179450.0,-0.205139,E01002864,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,00:15,Urban,Fine no high winds,2005,No
17,200501BS00020,3218.0,4.0,Slight,21/01/2005,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.495811,Kensington and Chelsea,Kensington and Chelsea,527000.0,179020.0,-0.171887,E01002821,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,09:15,Urban,Fine no high winds,2005,No
18,200501BS00021,302.0,0.0,Slight,21/01/2005,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.486552,Kensington and Chelsea,Kensington and Chelsea,527810.0,178010.0,-0.16059,E01002901,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,21:16,Urban,Fine no high winds,2005,No
19,200501BS00022,4.0,0.0,Serious,08/01/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.495498,Kensington and Chelsea,Kensington and Chelsea,526790.0,178980.0,-0.174925,E01002821,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,03:00,Urban,Fine no high winds,2005,No
20,200501BS00023,0.0,0.0,Slight,24/01/2005,Monday,2.0,Data missing or out of range,Not at junction or within 20 metres,51.492992,Kensington and Chelsea,Kensington and Chelsea,525940.0,178680.0,-0.18727,E01002839,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,2005,No
21,200501BS00024,415.0,0.0,Slight,24/01/2005,Monday,2.0,Give way or uncontrolled,T or staggered junction,51.513039,Kensington and Chelsea,Kensington and Chelsea,524700.0,180880.0,-0.204346,E01002882,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,17:05,Urban,Fine no high winds,2005,No
22,200501BS00025,3220.0,3220.0,Slight,24/01/2005,Monday,1.0,Auto traffic signal,Crossroads,51.482076,Kensington and Chelsea,Kensington and Chelsea,526930.0,177490.0,-0.173445,E01002840,1,2,0.0,0.0,Metropolitan Police,Frost or ice,Dual carriageway,30,21:30,Urban,Fine no high winds,2005,No
23,200501BS00028,0.0,0.0,Slight,18/01/2005,Tuesday,2.0,Give way or uncontrolled,Crossroads,51.49296,Kensington and Chelsea,Kensington and Chelsea,527290.0,178710.0,-0.167824,E01002858,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,2005,No
24,200501BS00029,4.0,319.0,Slight,29/01/2005,Saturday,1.0,Auto traffic signal,T or staggered junction,51.498062,Kensington and Chelsea,Kensington and Chelsea,527380.0,179280.0,-0.166322,E01002819,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,30,07:34,Urban,Fine no high winds,2005,No
25,200501BS00031,0.0,0.0,Slight,19/01/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.508265,Kensington and Chelsea,Kensington and Chelsea,523930.0,180330.0,-0.215629,E01001944,1,1,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,16:35,Urban,Raining no high winds,2005,No
26,200501BS00032,450.0,0.0,Slight,30/01/2005,Sunday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.513988,Kensington and Chelsea,Kensington and Chelsea,524470.0,180980.0,-0.207623,E01002874,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,2005,No
27,200501BS00033,3220.0,3218.0,Slight,29/01/2005,Saturday,3.0,Auto traffic signal,Crossroads,51.488671,Kensington and Chelsea,Kensington and Chelsea,525570.0,178190.0,-0.192771,E01002849,2,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,13:15,Urban,Raining no high winds,2005,No
28,200501BS70001,4.0,0.0,Slight,01/02/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.494902,Kensington and Chelsea,Kensington and Chelsea,526240.0,178900.0,-0.182872,E01002835,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,30,18:20,Urban,Raining no high winds,2005,No
29,200501BS70002,319.0,0.0,Slight,02/02/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.496893,Kensington and Chelsea,Kensington and Chelsea,527780.0,179160.0,-0.160606,E01002863,1,2,0.0,1.0,Metropolitan Police,Dry,Single carriageway,30,07:25,Urban,Fine no high winds,2005,No
30,200501BS70003,412.0,0.0,Serious,01/02/2005,Tuesday,1.0,Give way or uncontrolled,Mini-roundabout,51.517796,Kensington and Chelsea,Kensington and Chelsea,523910.0,181390.0,-0.215545,E01002878,2,2,0.0,0.0,Metropolitan Police,Wet or damp,One way street,30,17:30,Urban,Raining no high winds,2005,No
32,200501BS70005,4.0,0.0,Slight,12/02/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.497103,Kensington and Chelsea,Kensington and Chelsea,527250.0,179170.0,-0.168234,E01002819,1,2,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,30,09:55,Urban,Fine no high winds,2005,No
